epoch,train_loss,val_loss,val_mean_fg_dice,val_dice_vent,val_dice_nwmh,val_dice_abwmh,val_weighted_score,val_balanced_score,mean_gradient_norm,gradient_alarm_counter,collapse_counter,lr
1,2.1840,1.9034,0.4530,0.6253,0.2938,0.4399,0.4186,0.4191,165.54,0,0,0.0001000
2,1.6786,1.7068,0.5505,0.6268,0.4124,0.6122,0.5352,0.5260,53.31,0,0,0.0001000
3,1.4453,1.6356,0.6117,0.7104,0.4646,0.6601,0.5920,0.5852,41.43,0,0,0.0001000
4,1.3341,1.4757,0.6530,0.7641,0.4887,0.7062,0.6308,0.6234,26.92,0,0,0.0001000
5,1.2938,1.7970,0.5200,0.5357,0.4170,0.6073,0.5169,0.5004,94.83,0,1,0.0001000
6,1.2475,1.5052,0.6504,0.7665,0.5007,0.6839,0.6271,0.6226,58.18,0,0,0.0001000
7,1.2851,1.5910,0.6751,0.7786,0.5242,0.7226,0.6544,0.6478,96.62,0,0,0.0001000
8,1.2097,1.5328,0.6413,0.7529,0.4725,0.6985,0.6190,0.6110,53.71,0,0,0.0001000
9,1.2800,1.6632,0.6532,0.7270,0.5087,0.7240,0.6385,0.6277,152.14,0,0,0.0001000
10,1.2612,1.6243,0.6725,0.7666,0.5341,0.7170,0.6537,0.6475,88.15,0,0,0.0001000
11,1.2338,1.6352,0.6980,0.8176,0.5483,0.7281,0.6741,0.6700,62.87,0,0,0.0001000
12,1.1951,1.5025,0.6359,0.7819,0.4508,0.6751,0.6067,0.6014,111.51,0,1,0.0001000
13,1.2093,1.5753,0.6512,0.6717,0.5631,0.7190,0.6471,0.6349,218.75,0,0,0.0001000
14,1.4681,1.7319,0.5925,0.6288,0.4598,0.6889,0.5853,0.5683,178.32,0,1,0.0001000
15,1.3302,1.6824,0.6727,0.7650,0.5308,0.7222,0.6542,0.6472,84.24,0,0,0.0001000
16,1.1905,1.5077,0.6920,0.7999,0.5628,0.7132,0.6704,0.6675,83.35,0,0,0.0000500
17,1.1689,1.5157,0.7151,0.8303,0.5697,0.7454,0.6921,0.6880,73.91,0,0,0.0000500
18,1.1731,1.5248,0.7120,0.8198,0.5691,0.7472,0.6905,0.6857,78.04,0,0,0.0000500
19,1.1271,1.5329,0.7016,0.7941,0.5776,0.7331,0.6831,0.6788,64.97,0,0,0.0000500
20,1.1037,1.4913,0.7167,0.8366,0.5751,0.7383,0.6927,0.6897,59.71,0,0,0.0000500
21,1.1476,1.5396,0.6970,0.8159,0.5537,0.7214,0.6732,0.6699,106.32,0,0,0.0000500
22,1.1218,1.5059,0.7267,0.8341,0.5946,0.7515,0.7053,0.7019,72.01,0,0,0.0000500
23,1.0709,1.4405,0.7278,0.8430,0.5873,0.7530,0.7047,0.7013,44.43,0,0,0.0000500
24,1.0846,1.4615,0.7258,0.8340,0.6035,0.7398,0.7041,0.7021,57.51,0,0,0.0000500
25,1.0659,1.5220,0.7181,0.8398,0.6063,0.7081,0.6938,0.6942,58.37,0,0,0.0000500
26,1.0628,1.4930,0.7176,0.8226,0.5895,0.7407,0.6966,0.6935,83.99,0,0,0.0000500
27,1.5096,1.7871,0.6761,0.7998,0.5199,0.7085,0.6513,0.6469,285.70,0,1,0.0000500
28,1.1366,1.5718,0.7125,0.8009,0.5873,0.7494,0.6948,0.6898,125.59,0,0,0.0000500
29,1.0674,1.4712,0.7303,0.8370,0.6003,0.7537,0.7090,0.7058,92.06,0,0,0.0000250
